,corr
000728.XSHE,0.9951444028675578
601555.XSHG,0.9951444028675578
600109.XSHG,0.991463570675329
600837.XSHG,0.9913480204497346
000783.XSHE,0.9913480204497346
600958.XSHG,0.9907571798918324
600704.XSHG,0.9902685422485011
600415.XSHG,0.9902685422485011
601878.XSHG,0.9885103403198562
601377.XSHG,0.9885103403198562
